"","order","species","adult_body_mass_g","adult_head_body_len_mm","home_range_km2","litter_size","habitat"
"1","Afrosoricida","Amblysomus corriae",NA,NA,NA,NA,"T"
"2","Afrosoricida","Amblysomus hottentotus",62.6,121.49,0.000334208,1.86,"T"
"3","Afrosoricida","Amblysomus marleyi",NA,NA,NA,NA,"T"
"4","Afrosoricida","Amblysomus robustus",NA,NA,NA,NA,"T"
"5","Afrosoricida","Amblysomus septentrionalis",NA,NA,NA,NA,"T"
"6","Afrosoricida","Calcochloris leucorhinus",NA,NA,NA,NA,"T"
"7","Afrosoricida","Calcochloris obtusirostris",24.05,100.84,NA,2,"T"
"8","Afrosoricida","Calcochloris tytonis",NA,NA,NA,NA,"T"
"9","Afrosoricida","Carpitalpa arendsi",52.34,123.77,NA,NA,"T"
"10","Afrosoricida","Chlorotalpa duthieae",NA,100.34,NA,2,"T"
"11","Afrosoricida","Chlorotalpa sclateri",38.3,100,NA,2,"T"
"12","Afrosoricida","Chrysochloris asiatica",37.16,106.5,NA,3.49,"T"
"13","Afrosoricida","Chrysochloris stuhlmanni",55.76,129.14,NA,0.96,"T"
"14","Afrosoricida","Chrysochloris visagiei",NA,106,NA,NA,"T"
"15","Afrosoricida","Chrysospalax trevelyani",434.04,234.94,0.000602526,1.41,"T"
"16","Afrosoricida","Chrysospalax villosus",108.35,150,NA,1.93,"T"
"17","Afrosoricida","Cryptochloris wintoni",NA,89.99,NA,NA,"T"
"18","Afrosoricida","Cryptochloris zyli",NA,84.85,NA,NA,"T"
"19","Afrosoricida","Echinops telfairi",152.25,160,NA,5.49,"T"
"20","Afrosoricida","Eremitalpa granti",22.04,76.02,0.03,1.36,"T"
"21","Afrosoricida","Geogale aurita",6.69,71,NA,3.4,"T"
"22","Afrosoricida","Hemicentetes nigriceps",102.99,NA,NA,2.84,"T"
"23","Afrosoricida","Hemicentetes semispinosus",134,175,NA,5.32,"T"
"24","Afrosoricida","Limnogale mergulus",76.86,144.99,NA,2.73,"T"
"25","Afrosoricida","Microgale brevicaudata",8.99,NA,NA,4.5,"T"
"26","Afrosoricida","Microgale cowani",12.27,59.99,NA,NA,"T"
"27","Afrosoricida","Microgale dobsoni",36.66,NA,NA,2.66,"T"
"28","Afrosoricida","Microgale drouhardi",10.5,73.49,NA,NA,"T"
"29","Afrosoricida","Microgale dryas",40,NA,NA,NA,"T"
"30","Afrosoricida","Microgale fotsifotsy",7.7,72.45,NA,NA,"T"
"31","Afrosoricida","Microgale gracilis",23.3,NA,NA,NA,"T"
"32","Afrosoricida","Microgale gymnorhyncha",18.2,NA,NA,NA,"T"
"33","Afrosoricida","Microgale longicaudata",8.08,NA,NA,NA,"T"
"34","Afrosoricida","Microgale monticola",13.9,NA,NA,NA,"T"
"35","Afrosoricida","Microgale nasoloi",NA,NA,NA,NA,"T"
"36","Afrosoricida","Microgale parvula",3.53,56.8,NA,NA,"T"
"37","Afrosoricida","Microgale principula",10.2,NA,NA,NA,"T"
"38","Afrosoricida","Microgale pusilla",3.4,52,NA,NA,"T"
"39","Afrosoricida","Microgale soricoides",18.7,NA,NA,NA,"T"
"40","Afrosoricida","Microgale taiva",12.4,NA,NA,NA,"T"
"41","Afrosoricida","Microgale talazaci",43.07,150,NA,2.23,"T"
"42","Afrosoricida","Microgale thomasi",22.9,NA,NA,NA,"T"
"43","Afrosoricida","Micropotamogale lamottei",69.59,160,NA,3.86,"T"
"44","Afrosoricida","Micropotamogale ruwenzorii",109.13,160,NA,1.86,"T"
"45","Afrosoricida","Neamblysomus gunningi",NA,123.77,NA,NA,"T"
